no,ch1,ch2,ch3,ch4
356,-0.01495361,-0.02441406,0.008239746,0.02929688
357,-0.001220703,-0.0201416,-0.002746582,0.009765625
358,0.002746582,-0.009460449,-0.00579834,0.005187988
359,-0.001525879,0.0003051758,-0.01403809,-0.01678467
360,-0.01647949,-0.01464844,-0.02868652,-0.03967285
361,-0.03112793,-0.02532959,-0.04058838,-0.0567627
362,-0.04608154,-0.03875732,-0.03479004,-0.04058838
363,-0.04821777,-0.04058838,-0.02593994,-0.008850098
364,-0.03692627,-0.03570557,-0.008239746,0.01495361
365,-0.01495361,-0.02685547,-0.009460449,0.007019043
366,-0.007629395,-0.01373291,-0.0009155273,0.008544922
367,-0.00793457,-0.01159668,-0.01037598,0.005493164
368,-0.01556396,-0.01434326,-0.0302124,-0.02166748
369,-0.02410889,-0.02166748,-0.02746582,-0.03173828
370,-0.03936768,-0.03295898,-0.02197266,-0.01434326
371,-0.03295898,-0.04119873,-0.02044678,-0.001831055
372,-0.01800537,-0.02563477,-0.0112915,0.009765625
373,-0.01434326,-0.01739502,0.002746582,0.0213623
374,-0.003051758,-0.009155273,-0.003662109,0.02105713
375,-0.0003051758,-0.001220703,-0.01800537,0.0009155273
376,-0.006408691,-0.005187988,-0.02655029,-0.02319336
377,-0.01586914,-0.01190186,-0.04211426,-0.05004883
378,-0.04302979,-0.02593994,-0.03326416,-0.0402832
379,-0.05096436,-0.04333496,-0.03540039,-0.02593994
380,-0.04211426,-0.03753662,-0.01617432,0.003967285
381,-0.01831055,-0.02441406,-0.008850098,0.01342773
382,-0.0112915,-0.01861572,-0.0112915,0.009155273
383,-0.01068115,-0.01434326,-0.009460449,0.006103516
384,-0.006713867,-0.009765625,-0.02227783,-0.008850098
385,-0.008850098,-0.001220703,-0.02838135,-0.03204346
386,-0.03387451,-0.01708984,-0.02807617,-0.02838135
387,-0.03936768,-0.03448486,-0.02655029,-0.01983643
388,-0.03387451,-0.03753662,-0.01373291,0.006103516
389,-0.01678467,-0.02655029,0.0006103516,0.02532959
390,0.004882813,-0.01251221,-0.001831055,0.01068115
391,0.005493164,-0.006103516,-0.003356934,0.009460449
392,0.003967285,-0.0009155273,-0.01464844,-0.01586914
393,-0.01190186,-0.009460449,-0.01861572,-0.027771
394,-0.02838135,-0.027771,-0.04089355,-0.04241943
395,-0.03845215,-0.03509521,-0.04302979,-0.0402832
396,-0.04669189,-0.04089355,-0.03143311,-0.01739502
397,-0.03295898,-0.03143311,-0.00793457,0.004577637
398,-0.02044678,-0.03082275,-0.002746582,0.01159668
399,-0.00793457,-0.02593994,-0.007019043,0.01739502
400,-0.001525879,-0.01159668,-0.01556396,0.004882813
401,-0.007019043,-0.01068115,-0.02349854,-0.01678467
402,-0.01586914,-0.01495361,-0.02807617,-0.03295898
403,-0.03265381,-0.02929688,-0.02685547,-0.02716064
404,-0.03173828,-0.03540039,-0.02258301,-0.01434326
405,-0.02502441,-0.02960205,-0.01098633,0.01068115
406,-0.0112915,-0.01464844,0.00213623,0.027771
407,-0.00213623,-0.01098633,-0.00213623,0.0213623
408,-0.003662109,-0.007629395,-0.003356934,0.01678467
409,0.0006103516,-0.01312256,-0.02197266,-0.02166748
410,-0.01617432,-0.01312256,-0.03356934,-0.03936768
411,-0.03601074,-0.02197266,-0.03173828,-0.04180908
412,-0.04852295,-0.04211426,-0.03417969,-0.02380371
413,-0.04058838,-0.0378418,-0.01953125,0.0006103516
414,-0.02441406,-0.02716064,-0.00793457,0.01434326
415,-0.0213623,-0.02349854,-0.0112915,0.01800537
416,-0.01281738,-0.01708984,-0.01220703,0.004882813
417,-0.01434326,-0.01556396,-0.007019043,-0.001525879
418,-0.01068115,-0.01617432,-0.0213623,-0.02258301
419,-0.02319336,-0.01800537,-0.0302124,-0.0302124
420,-0.03631592,-0.02624512,-0.02655029,-0.02258301
421,-0.0390625,-0.03662109,-0.01464844,-0.001525879
422,-0.02349854,-0.02716064,0.001525879,0.02380371
423,-0.0112915,-0.01647949,0.003356934,0.03509521
424,0.003356934,-0.006713867,-0.01312256,0.01464844
425,-0.0003051758,-0.002746582,-0.01556396,-0.005493164
426,-0.01037598,-0.00793457,-0.02441406,-0.02227783
427,-0.0302124,-0.01800537,-0.04333496,-0.03997803
428,-0.04394531,-0.02624512,-0.03814697,-0.03723145
429,-0.04364014,-0.03387451,-0.02960205,-0.027771
430,-0.03479004,-0.03387451,-0.01708984,-0.007324219
431,-0.02960205,-0.02624512,0.001525879,0.0189209
432,-0.01556396,-0.02960205,-0.009765625,0.01525879
433,-0.004577637,-0.01678467,-0.01342773,0.003051758
434,0.0006103516,-0.006103516,-0.01251221,-0.01525879
435,-0.01190186,-0.009155273,-0.02502441,-0.0302124
436,-0.03265381,-0.01434326,-0.01922607,-0.02716064
437,-0.04211426,-0.03448486,-0.01800537,-0.01586914
438,-0.03814697,-0.03631592,-0.004882813,0.01831055
439,-0.01495361,-0.02746582,-0.006408691,0.01953125
440,-0.008544922,-0.01373291,-0.003051758,0.0177002
441,-0.002746582,-0.01068115,0.002441406,0.02319336
442,0.003356934,-0.00579834,-0.01464844,-0.0009155273
443,-0.004577637,-0.01556396,-0.03692627,-0.03509521
444,-0.0289917,-0.02532959,-0.04760742,-0.04852295
445,-0.04425049,-0.03448486,-0.03570557,-0.03753662
446,-0.04180908,-0.03723145,-0.02227783,-0.01068115
447,-0.03082275,-0.02838135,-0.01037598,0.01281738
448,-0.01739502,-0.02349854,-0.01190186,0.01342773
449,-0.01190186,-0.02532959,-0.00793457,0.02075195
450,0.005187988,-0.009460449,-0.01678467,0.003967285
451,-0.004577637,-0.003662109,-0.02166748,-0.02258301
452,-0.02197266,-0.01220703,-0.03570557,-0.03509521
453,-0.03814697,-0.02288818,-0.03387451,-0.03082275
454,-0.04699707,-0.02349854,-0.008239746,-0.0003051758
455,-0.04547119,-0.03570557,0.003967285,0.03234863
456,-0.01861572,-0.02716064,0.002441406,0.03570557
